ID,Tipo,Nombre,Destino,País,Región,Categoría,Estrellas,Precio_neto_EUR,Precio_unidad,Comisión_%,Proveedor,Accesible_PMR,Notas,Contacto,Temporada_alta,Min_noches,Capacidad_max_pax,Tags
1,Hotel,Hotel Boutique Madrid,Madrid,ES,Europa,boutique,4,182,por noche,10,Contrato directo,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@madrid.com,Julio-Agosto,3,2,"boutique,europa,hotel"
2,Hotel,Hotel Boutique Barcelona,Barcelona,ES,Europa,boutique,4,143,por noche,20,Mandarin Oriental,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@barcelon.com,Julio-Agosto,3,2,"boutique,europa,hotel"
3,Hotel,Riad Barcelona,Barcelona,ES,Europa,boutique,4,176,por noche,15,Relais & Châteaux,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@barcelon.com,Julio-Agosto,1,6,"boutique,europa,hotel"
4,Hotel,Posada Barcelona,Barcelona,ES,Europa,budget,3,58,por noche,15,Hotelbeds,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@barcelon.com,Julio-Agosto,2,2,"budget,europa,hotel"
5,Hotel,Parador Barcelona,Barcelona,ES,Europa,standard,4,113,por noche,18,Four Seasons,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@barcelon.com,Julio-Agosto,2,2,"standard,europa,hotel"
6,Hotel,Finca Sevilla,Sevilla,ES,Europa,budget,3,90,por noche,10,Booking Partner,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@sevilla.com,Julio-Agosto,1,4,"budget,europa,hotel"
7,Hotel,Hotel 5 Estrellas Sevilla,Sevilla,ES,Europa,luxury,5,299,por noche,18,Contrato directo,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@sevilla.com,Julio-Agosto,1,4,"luxury,europa,hotel"
8,Hotel,Parador Sevilla,Sevilla,ES,Europa,standard,4,89,por noche,12,Four Seasons,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@sevilla.com,Julio-Agosto,1,2,"standard,europa,hotel"
9,Hotel,Posada Valencia,Valencia,ES,Europa,budget,3,88,por noche,15,Design Hotels,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@valencia.com,Julio-Agosto,1,2,"budget,europa,hotel"
10,Hotel,Hacienda Valencia,Valencia,ES,Europa,standard,4,114,por noche,12,Preferred Hotels,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@valencia.com,Julio-Agosto,3,4,"standard,europa,hotel"
11,Hotel,Hotel 3 Estrellas Valencia,Valencia,ES,Europa,budget,3,54,por noche,15,Barceló Hotels,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@valencia.com,Julio-Agosto,3,6,"budget,europa,hotel"
12,Hotel,Eco Lodge Valencia,Valencia,ES,Europa,budget,3,82,por noche,18,Marriott,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@valencia.com,Julio-Agosto,1,6,"budget,europa,hotel"
13,Hotel,Hotel 5 Estrellas Bilbao,Bilbao,ES,Europa,luxury,5,204,por noche,12,Relais & Châteaux,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@bilbao.com,Julio-Agosto,2,6,"luxury,europa,hotel"
14,Hotel,Hotel 5 Estrellas Bilbao,Bilbao,ES,Europa,luxury,5,377,por noche,20,Meliá Hotels,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@bilbao.com,Julio-Agosto,1,6,"luxury,europa,hotel"
15,Hotel,Riad Bilbao,Bilbao,ES,Europa,boutique,4,257,por noche,15,Hotelbeds,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@bilbao.com,Julio-Agosto,2,2,"boutique,europa,hotel"
16,Hotel,Lodge Bilbao,Bilbao,ES,Europa,standard,4,144,por noche,12,Four Seasons,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@bilbao.com,Julio-Agosto,3,4,"standard,europa,hotel"
17,Hotel,Hotel 4 Estrellas San Sebastián,San Sebastián,ES,Europa,standard,4,149,por noche,20,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@sansebas.com,Julio-Agosto,3,4,"standard,europa,hotel"
18,Hotel,Lodge San Sebastián,San Sebastián,ES,Europa,standard,4,126,por noche,12,Booking Partner,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@sansebas.com,Julio-Agosto,3,2,"standard,europa,hotel"
19,Hotel,Riad Málaga,Málaga,ES,Europa,boutique,4,137,por noche,12,Barceló Hotels,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@málaga.com,Julio-Agosto,2,6,"boutique,europa,hotel"
20,Hotel,Resort & Spa Granada,Granada,ES,Europa,luxury,5,450,por noche,20,Relais & Châteaux,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@granada.com,Julio-Agosto,3,2,"luxury,europa,hotel"
21,Hotel,Riad Granada,Granada,ES,Europa,boutique,4,222,por noche,20,Hyatt,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@granada.com,Julio-Agosto,1,2,"boutique,europa,hotel"
22,Hotel,Parador Toledo,Toledo,ES,Europa,standard,4,150,por noche,20,NH Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@toledo.com,Julio-Agosto,1,6,"standard,europa,hotel"
23,Hotel,Hotel 3 Estrellas Salamanca,Salamanca,ES,Europa,budget,3,49,por noche,20,NH Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@salamanc.com,Julio-Agosto,3,4,"budget,europa,hotel"
24,Hotel,Eco Lodge Córdoba,Córdoba,ES,Europa,budget,3,75,por noche,12,Relais & Châteaux,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@córdoba.com,Julio-Agosto,2,2,"budget,europa,hotel"
25,Hotel,Hotel 5 Estrellas Córdoba,Córdoba,ES,Europa,luxury,5,229,por noche,18,Hyatt,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@córdoba.com,Julio-Agosto,1,6,"luxury,europa,hotel"
26,Hotel,Hotel Boutique Palma,Palma,ES,Europa,boutique,4,206,por noche,12,NH Hotels,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@palma.com,Julio-Agosto,2,2,"boutique,europa,hotel"
27,Hotel,Hotel 4 Estrellas Tenerife,Tenerife,ES,Europa,standard,4,111,por noche,18,Relais & Châteaux,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@tenerife.com,Julio-Agosto,1,2,"standard,europa,hotel"
28,Hotel,Ryokan Tenerife,Tenerife,ES,Europa,standard,4,110,por noche,18,Hyatt,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@tenerife.com,Julio-Agosto,1,4,"standard,europa,hotel"
29,Hotel,Massería Tenerife,Tenerife,ES,Europa,boutique,4,162,por noche,18,Meliá Hotels,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@tenerife.com,Julio-Agosto,2,4,"boutique,europa,hotel"
